Start,Role,Duration,Source,Label
00:00.00,music,5.50,audio/music/logo-sting.wav,Logo sting
00:06.65,music,20.00,audio/music/gentle-morning.wav,gentle-morning
00:09.47,sfx,1.00,audio/sfx/buzz-in.wav,buzz-in
00:09.47,dialogue,4.85,audio/vo/001-buzzy.wav,"BUZZY: Hello, hello, HELLO, my friends! It's m…"
00:14.52,dialogue,1.83,audio/vo/002-buzzy.wav,BUZZY: Welcome back to the garden!
00:16.55,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
00:16.55,audience beat,3.00,question-pause,Can you wave hello to Buzzy?
00:19.55,dialogue,3.33,audio/vo/003-buzzy.wav,"BUZZY: Oh, I saw that! What a lovely wave."
00:23.08,dialogue,4.91,audio/vo/004-buzzy.wav,BUZZY: Here's a big question. How do you know …
00:28.19,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
00:28.19,audience beat,3.00,question-pause,How do you find things out? Have a think!
00:32.21,dialogue,4.99,audio/vo/005-buzzy.wav,BUZZY: Lily! Just in time. How do we find out …
00:37.40,dialogue,3.59,audio/vo/006-lily.wav,LILY: Ooh. With my eyes? I look at things.
00:41.19,dialogue,4.41,audio/vo/007-buzzy.wav,BUZZY: Yes! And that's called a sense. Your se…
00:45.80,dialogue,2.78,audio/vo/008-lily.wav,LILY: A sense? Is there more than one?
00:48.78,dialogue,6.95,audio/vo/009-buzzy.wav,"BUZZY: There are five! Five senses, Lily. And …"
00:55.94,sfx,1.00,audio/sfx/sparkle.wav,sparkle
00:55.94,dialogue,3.04,audio/vo/010-lily.wav,LILY: Five! Let's go and find them!
00:59.18,sfx,2.00,audio/sfx/twinkle.wav,twinkle (count-along)
00:59.18,audience beat,3.00,count-along,Count with me — how many senses are we looking for?
01:02.18,dialogue,5.73,audio/vo/011-buzzy.wav,"BUZZY: Five it is. Come on, everybody. Let's h…"
01:08.11,sfx,1.00,audio/sfx/whoosh.wav,whoosh
01:09.46,music,20.00,audio/music/bright-discovery.wav,bright-discovery
01:11.38,dialogue,2.55,audio/vo/012-buzzy.wav,BUZZY: Here we are! Sense number one.
01:14.13,dialogue,4.12,audio/vo/013-buzzy.wav,"BUZZY: Everybody, put your hands over your eye…"
01:18.45,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
01:18.45,audience beat,3.00,question-pause,Cover your eyes with your hands!
01:21.45,dialogue,1.99,audio/vo/014-buzzy.wav,BUZZY: Can you see anything at all?
01:23.64,dialogue,2.37,audio/vo/015-lily.wav,LILY: Not a thing! It's all dark.
01:26.21,dialogue,1.82,audio/vo/016-buzzy.wav,BUZZY: Now — open them up!
01:28.23,sfx,1.00,audio/sfx/twinkle.wav,twinkle
01:29.25,dialogue,2.34,audio/vo/017-buzzy.wav,BUZZY: Ta-daaa! Look at all this!
01:31.80,dialogue,1.71,audio/vo/018-lily.wav,LILY: Wow. The colours!
01:33.70,dialogue,7.10,audio/vo/019-buzzy.wav,BUZZY: That's your sense of SIGHT. Your eyes l…
01:41.01,dialogue,4.08,audio/vo/020-buzzy.wav,"BUZZY: Let's practise. I'll say a colour, and …"
01:45.29,dialogue,1.95,audio/vo/021-buzzy.wav,BUZZY: Can you find something RED?
01:47.43,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
01:47.43,audience beat,3.00,question-pause,Point at something red!
01:50.43,dialogue,1.82,audio/vo/022-lily.wav,LILY: I found a red tulip!
01:52.45,dialogue,2.49,audio/vo/023-buzzy.wav,BUZZY: Beautiful. Now something YELLOW.
01:55.14,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
01:55.14,audience beat,3.00,question-pause,Point at something yellow!
01:58.14,dialogue,2.24,audio/vo/024-lily.wav,LILY: The middle of the daisy is yellow!
02:00.58,dialogue,3.32,audio/vo/025-buzzy.wav,BUZZY: Now here's the tricky one. Something GR…
02:04.10,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
02:04.10,audience beat,3.00,question-pause,Where is something green?
02:07.10,dialogue,6.08,audio/vo/026-lily.wav,"LILY: That's easy. The grass, the leaves, the…"
02:13.38,dialogue,4.89,audio/vo/027-buzzy.wav,"BUZZY: Brilliant looking, everybody. That's se…"
02:18.47,sfx,1.00,audio/sfx/ding.wav,ding
02:18.47,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
02:18.47,audience beat,3.00,question-pause,Hold up one finger. One sense found!
02:22.82,music,20.00,audio/music/playful-curious.wav,playful-curious
02:24.74,sfx,1.00,audio/sfx/water-lap.wav,water-lap
02:24.74,dialogue,1.63,audio/vo/028-pip.wav,PIP: Tweet! Tweet-tweet!
02:26.56,dialogue,2.09,audio/vo/029-buzzy.wav,BUZZY: Oh! Did you hear that?
02:28.85,dialogue,2.16,audio/vo/030-lily.wav,LILY: I did! Who was that?
02:31.21,dialogue,2.35,audio/vo/031-pip.wav,"PIP: It was me! Hello, I'm Pip."
02:33.76,dialogue,2.79,audio/vo/032-buzzy.wav,"BUZZY: Everybody, this is sense number two."
02:36.75,dialogue,4.15,audio/vo/033-buzzy.wav,BUZZY: Close your eyes for me. Now — what can …
02:41.10,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
02:41.10,audience beat,3.20,question-pause,Close your eyes and listen!
02:44.30,sfx,1.00,audio/sfx/bird-song.wav,bird-song
02:44.30,dialogue,1.91,audio/vo/034-lily.wav,LILY: I can hear Pip singing!
02:46.41,dialogue,2.51,audio/vo/035-buzzy.wav,"BUZZY: And the water going splish, splash."
02:49.13,dialogue,3.43,audio/vo/036-pip.wav,PIP: And the wind in the leaves. Shhhhhh.
02:52.76,dialogue,7.27,audio/vo/037-buzzy.wav,BUZZY: Open your eyes! That was your sense of …
03:00.23,dialogue,4.62,audio/vo/038-lily.wav,LILY: My ears were working the whole time and…
