#,Start,Dur,Scene,Framing,Move,Transition,Note
1,00:00.00,2.60,Title card,two-shot,static,cut,Logo animation in
2,00:02.60,2.90,Title card,two-shot,pull-out,crossfade,Reveal full title
3,00:05.50,3.97,The Garden Gate,wide,push-in,cut,Establish: The Garden Gate
4,00:09.47,7.07,The Garden Gate,medium,push-in,cut,"Hello, hello, HELLO, my friends! It's me — Buzzy!"
5,00:16.53,6.53,The Garden Gate,close-up,static,cut,Audience beat: Can you wave hello to Buzzy?
6,00:23.07,5.10,The Garden Gate,close-up,push-in,cut,Here's a big question. How do you know what's happening around you?
7,00:28.20,9.20,The Garden Gate,close-up,static,cut,Audience beat: How do you find things out? Have a think!
8,00:37.40,3.80,The Garden Gate,medium,static,cut,Ooh. With my eyes? I look at things.
9,00:41.20,4.60,The Garden Gate,close-up,push-in,cut,Yes! And that's called a sense. Your sense of sight.
10,00:45.80,3.00,The Garden Gate,two-shot,static,cut,A sense? Is there more than one?
11,00:48.77,7.17,The Garden Gate,full,push-in,cut,"There are five! Five senses, Lily. And today, we're going to find ever"
12,00:55.93,3.23,The Garden Gate,close-up,static,cut,Five! Let's go and find them!
13,00:59.17,3.00,The Garden Gate,close-up,static,cut,Audience beat: Count with me — how many senses are we looking for?
14,01:02.17,5.93,The Garden Gate,medium,push-in,cut,"Five it is. Come on, everybody. Let's have a sense-ational adventure!"
15,01:08.30,3.07,Sense One — Seeing,wide,push-in,cut,Establish: Sense One — Seeing
16,01:11.37,2.77,Sense One — Seeing,medium,static,cut,Here we are! Sense number one.
17,01:14.13,4.33,Sense One — Seeing,medium,static,cut,"Everybody, put your hands over your eyes. Go on!"
18,01:18.47,5.20,Sense One — Seeing,close-up,static,cut,Audience beat: Cover your eyes with your hands!
19,01:23.63,2.57,Sense One — Seeing,full,handheld,cut,Not a thing! It's all dark.
20,01:26.20,5.57,Sense One — Seeing,close-up,static,cut,Now — open them up!
21,01:31.80,1.90,Sense One — Seeing,close-up,static,cut,Wow. The colours!
22,01:33.70,7.30,Sense One — Seeing,two-shot,push-in,cut,"That's your sense of SIGHT. Your eyes let you see colours, and shapes,"
23,01:41.00,6.43,Sense One — Seeing,wide,pan-right,cut,"Let's practise. I'll say a colour, and you find it."
24,01:47.43,3.00,Sense One — Seeing,close-up,static,cut,Audience beat: Point at something red!
25,01:50.43,2.00,Sense One — Seeing,medium,static,cut,I found a red tulip!
26,01:52.43,2.70,Sense One — Seeing,close-up,static,cut,Beautiful. Now something YELLOW.
27,01:55.13,3.00,Sense One — Seeing,close-up,static,cut,Audience beat: Point at something yellow!
28,01:58.13,2.43,Sense One — Seeing,two-shot,static,cut,The middle of the daisy is yellow!
29,02:00.57,3.53,Sense One — Seeing,full,handheld,cut,Now here's the tricky one. Something GREEN.
