file,character,direction,line
001-buzzy.wav,BUZZY,excited,"Hello, hello, HELLO, my friends! It's me — Buzzy!"
002-buzzy.wav,BUZZY,happy,Welcome back to the garden!
003-buzzy.wav,BUZZY,giggling,"Oh, I saw that! What a lovely wave."
004-buzzy.wav,BUZZY,curious,Here's a big question. How do you know what's happening around you?
005-buzzy.wav,BUZZY,happy,Lily! Just in time. How do we find out about the world?
006-lily.wav,LILY,thinking,Ooh. With my eyes? I look at things.
007-buzzy.wav,BUZZY,excited,Yes! And that's called a sense. Your sense of sight.
008-lily.wav,LILY,surprised,A sense? Is there more than one?
009-buzzy.wav,BUZZY,proud,"There are five! Five senses, Lily. And today, we're going to find every single one."
010-lily.wav,LILY,excited,Five! Let's go and find them!
011-buzzy.wav,BUZZY,happy,"Five it is. Come on, everybody. Let's have a sense-ational adventure!"
012-buzzy.wav,BUZZY,excited,Here we are! Sense number one.
013-buzzy.wav,BUZZY,,"Everybody, put your hands over your eyes. Go on!"
014-buzzy.wav,BUZZY,curious,Can you see anything at all?
015-lily.wav,LILY,giggling,Not a thing! It's all dark.
016-buzzy.wav,BUZZY,happy,Now — open them up!
017-buzzy.wav,BUZZY,excited,Ta-daaa! Look at all this!
018-lily.wav,LILY,surprised,Wow. The colours!
019-buzzy.wav,BUZZY,proud,"That's your sense of SIGHT. Your eyes let you see colours, and shapes, and how big things are."
020-buzzy.wav,BUZZY,,"Let's practise. I'll say a colour, and you find it."
021-buzzy.wav,BUZZY,excited,Can you find something RED?
022-lily.wav,LILY,proud,I found a red tulip!
023-buzzy.wav,BUZZY,happy,Beautiful. Now something YELLOW.
024-lily.wav,LILY,excited,The middle of the daisy is yellow!
025-buzzy.wav,BUZZY,curious,Now here's the tricky one. Something GREEN.
026-lily.wav,LILY,happy,"That's easy. The grass, the leaves, the stems — green, green, green!"
027-buzzy.wav,BUZZY,proud,"Brilliant looking, everybody. That's sense number one: seeing."
028-pip.wav,PIP,happy,Tweet! Tweet-tweet!
029-buzzy.wav,BUZZY,surprised,Oh! Did you hear that?
030-lily.wav,LILY,curious,I did! Who was that?
031-pip.wav,PIP,excited,"It was me! Hello, I'm Pip."
032-buzzy.wav,BUZZY,excited,"Everybody, this is sense number two."
033-buzzy.wav,BUZZY,,Close your eyes for me. Now — what can you hear?
034-lily.wav,LILY,happy,I can hear Pip singing!
035-buzzy.wav,BUZZY,,"And the water going splish, splash."
036-pip.wav,PIP,proud,And the wind in the leaves. Shhhhhh.
037-buzzy.wav,BUZZY,proud,"Open your eyes! That was your sense of HEARING. Your ears did all of that, all by themselves."
038-lily.wav,LILY,surprised,My ears were working the whole time and I didn't even know!
039-buzzy.wav,BUZZY,excited,"Now, listen very carefully. Is this sound LOUD, or is it QUIET?"
040-buzzy.wav,BUZZY,happy,Quiet! Well listened. And this one?
041-lily.wav,LILY,giggling,That one made me jump!
042-pip.wav,PIP,excited,Let's make a sound together! Can you clap your hands?
043-buzzy.wav,BUZZY,proud,What a wonderful noise. That's sense number two: hearing.
044-buzzy.wav,BUZZY,excited,"Mmmmm. Oh, my goodness. Come and smell this."
045-lily.wav,LILY,curious,What is it?
